"db","group","conc_m3","min_d","max_d","mp","stationid"
"(4e+03,4.2e+03]","bv55c11",0,4000,4200,4100,"st3"
"(500,600]","bv55c11",0.601908642104621,500,600,550,"st3"
"(500,600]","bv55c11",0,500,600,550,"st3"
"(500,600]","bv55c11",0,500,600,550,"st3"
"(500,600]","bv55c11",0,500,600,550,"st3"
"(500,600]","bv55c11",0,500,600,550,"st3"
"(600,700]","bv55c11",3.66532584602515,600,700,650,"st3"
"(600,700]","bv55c11",0,600,700,650,"st3"
"(600,700]","bv55c11",0,600,700,650,"st3"
"(600,700]","bv55c11",0,600,700,650,"st3"
"(600,700]","bv55c11",0,600,700,650,"st3"
"(700,800]","bv55c11",0.495480680827178,700,800,750,"st3"
"(700,800]","bv55c11",0,700,800,750,"st3"
"(700,800]","bv55c11",0,700,800,750,"st3"
"(700,800]","bv55c11",0,700,800,750,"st3"
"(700,800]","bv55c11",0,700,800,750,"st3"
"(80,120]","bv55c11",1.55750268223268,80,120,100,"st3"
"(80,120]","bv55c11",0,80,120,100,"st3"
"(80,120]","bv55c11",0,80,120,100,"st3"
"(80,120]","bv55c11",0,80,120,100,"st3"
"(80,120]","bv55c11",0,80,120,100,"st3"
"(800,900]","bv55c11",33.0079750566883,800,900,850,"st3"
"(800,900]","bv55c11",0,800,900,850,"st3"
"(800,900]","bv55c11",0,800,900,850,"st3"
"(800,900]","bv55c11",0,800,900,850,"st3"
"(800,900]","bv55c11",0,800,900,850,"st3"
"(900,1e+03]","bv55c11",8.50069478883898,900,1000,950,"st3"
"(900,1e+03]","bv55c11",0,900,1000,950,"st3"
"(900,1e+03]","bv55c11",0,900,1000,950,"st3"
"(900,1e+03]","bv55c11",0,900,1000,950,"st3"
"(900,1e+03]","bv55c11",0,900,1000,950,"st3"
"(0,40]","bv55c12",12.4954382045832,0,40,20,"st6"
"(0,40]","bv55c12",1.75843269742628,0,40,20,"st6"
"(0,40]","bv55c12",0.628650005883519,0,40,20,"st6"
"(0,40]","bv55c12",3.09383645194498,0,40,20,"st6"
"(0,40]","bv55c12",0,0,40,20,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(40,80]","bv55c12",1.71106342700651,40,80,60,"st6"
"(40,80]","bv55c12",13.7936021944364,40,80,60,"st6"
"(40,80]","bv55c12",0.91189063828947,40,80,60,"st6"
"(40,80]","bv55c12",0,40,80,60,"st6"
"(40,80]","bv55c12",8.32842000542792,40,80,60,"st6"
"(80,120]","bv55c12",0.300201476973761,80,120,100,"st6"
"(80,120]","bv55c12",2.31662047968537,80,120,100,"st6"
"(80,120]","bv55c12",1.39319351122882,80,120,100,"st6"
"(80,120]","bv55c12",0.760486734050849,80,120,100,"st6"
"(80,120]","bv55c12",6.72538732984231,80,120,100,"st6"
"(0,40]","bv55c13",9.08651961866723,0,40,20,"st6"
"(0,40]","bv55c13",0.140525224526381,0,40,20,"st6"
"(0,40]","bv55c13",0.120357252487873,0,40,20,"st6"
"(0,40]","bv55c13",0,0,40,20,"st6"
"(0,40]","bv55c13",0,0,40,20,"st6"
"(1.1e+03,1.2e+03]","bv55c13",3.63795303382735,1100,1200,1150,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0,1100,1200,1150,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0,1100,1200,1150,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0,1100,1200,1150,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0,1100,1200,1150,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(120,160]","bv55c13",1.508482215679,120,160,140,"st6"
"(120,160]","bv55c13",0,120,160,140,"st6"
"(120,160]","bv55c13",0,120,160,140,"st6"
"(120,160]","bv55c13",0,120,160,140,"st6"
"(120,160]","bv55c13",0,120,160,140,"st6"
"(160,200]","bv55c13",3.76163170635392,160,200,180,"st6"
"(160,200]","bv55c13",0,160,200,180,"st6"
"(160,200]","bv55c13",0,160,200,180,"st6"
"(160,200]","bv55c13",0,160,200,180,"st6"
"(160,200]","bv55c13",0,160,200,180,"st6"
"(1e+03,1.1e+03]","bv55c13",1.23519215885165,1000,1100,1050,"st6"
"(1e+03,1.1e+03]","bv55c13",0,1000,1100,1050,"st6"
"(1e+03,1.1e+03]","bv55c13",0,1000,1100,1050,"st6"
"(1e+03,1.1e+03]","bv55c13",0,1000,1100,1050,"st6"
"(1e+03,1.1e+03]","bv55c13",0,1000,1100,1050,"st6"
"(200,300]","bv55c13",0.188288295922919,200,300,250,"st6"
"(200,300]","bv55c13",0.177202063273457,200,300,250,"st6"
"(200,300]","bv55c13",0,200,300,250,"st6"
"(200,300]","bv55c13",0,200,300,250,"st6"
"(200,300]","bv55c13",0,200,300,250,"st6"
"(300,400]","bv55c13",0.529383264584581,300,400,350,"st6"
"(300,400]","bv55c13",0,300,400,350,"st6"
"(300,400]","bv55c13",0,300,400,350,"st6"
"(300,400]","bv55c13",0,300,400,350,"st6"
"(300,400]","bv55c13",0,300,400,350,"st6"
"(40,80]","bv55c13",5.12344926125114,40,80,60,"st6"
"(40,80]","bv55c13",4.05543444545436,40,80,60,"st6"
"(40,80]","bv55c13",1.38818354942527,40,80,60,"st6"
"(40,80]","bv55c13",0,40,80,60,"st6"
"(40,80]","bv55c13",0,40,80,60,"st6"
"(400,500]","bv55c13",0.250632681670985,400,500,450,"st6"
"(400,500]","bv55c13",0,400,500,450,"st6"
"(400,500]","bv55c13",0,400,500,450,"st6"
"(400,500]","bv55c13",0,400,500,450,"st6"
"(400,500]","bv55c13",0,400,500,450,"st6"
"(500,600]","bv55c13",2.47853352796586,500,600,550,"st6"
"(500,600]","bv55c13",0,500,600,550,"st6"
"(500,600]","bv55c13",0,500,600,550,"st6"
"(500,600]","bv55c13",0,500,600,550,"st6"
"(500,600]","bv55c13",0,500,600,550,"st6"
"(600,700]","bv55c13",1.8379858503076,600,700,650,"st6"
"(600,700]","bv55c13",0.533685549463268,600,700,650,"st6"
"(600,700]","bv55c13",0,600,700,650,"st6"
"(600,700]","bv55c13",0,600,700,650,"st6"
"(600,700]","bv55c13",0,600,700,650,"st6"
"(700,800]","bv55c13",0.299496010906471,700,800,750,"st6"
"(700,800]","bv55c13",1.54603404068141,700,800,750,"st6"
"(700,800]","bv55c13",0,700,800,750,"st6"
"(700,800]","bv55c13",0,700,800,750,"st6"
"(700,800]","bv55c13",0,700,800,750,"st6"
"(80,120]","bv55c13",0.114272808385427,80,120,100,"st6"
"(80,120]","bv55c13",1.37800198396106,80,120,100,"st6"
"(80,120]","bv55c13",14.0989613906744,80,120,100,"st6"
"(80,120]","bv55c13",0,80,120,100,"st6"
"(80,120]","bv55c13",0,80,120,100,"st6"
"(800,900]","bv55c13",0.364458127245193,800,900,850,"st6"
"(800,900]","bv55c13",0,800,900,850,"st6"
"(800,900]","bv55c13",0,800,900,850,"st6"
"(800,900]","bv55c13",0,800,900,850,"st6"
"(800,900]","bv55c13",0,800,900,850,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(0,40]","bv55c15",0.414781123918184,0,40,20,"st6"
"(0,40]","bv55c15",0,0,40,20,"st6"
"(0,40]","bv55c15",0.826667721286572,0,40,20,"st6"
"(0,40]","bv55c15",3.54706761103469,0,40,20,"st6"
"(0,40]","bv55c15",0,0,40,20,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(160,200]","bv55c15",1.62447539501926,160,200,180,"st6"
"(160,200]","bv55c15",0,160,200,180,"st6"
"(160,200]","bv55c15",0,160,200,180,"st6"
"(160,200]","bv55c15",0,160,200,180,"st6"
