"db","group","conc_m3","min_d","max_d","mp","stationid"
"(4e+03,4.2e+03]","bv55c11",0,4000,4200,4100,"st3"
"(500,600]","bv55c11",0.880475456746643,500,600,550,"st3"
"(500,600]","bv55c11",0,500,600,550,"st3"
"(500,600]","bv55c11",0,500,600,550,"st3"
"(500,600]","bv55c11",0,500,600,550,"st3"
"(500,600]","bv55c11",0,500,600,550,"st3"
"(600,700]","bv55c11",0.438116100766703,600,700,650,"st3"
"(600,700]","bv55c11",0,600,700,650,"st3"
"(600,700]","bv55c11",0,600,700,650,"st3"
"(600,700]","bv55c11",0,600,700,650,"st3"
"(600,700]","bv55c11",0,600,700,650,"st3"
"(700,800]","bv55c11",0.437483594365211,700,800,750,"st3"
"(700,800]","bv55c11",0,700,800,750,"st3"
"(700,800]","bv55c11",0,700,800,750,"st3"
"(700,800]","bv55c11",0,700,800,750,"st3"
"(700,800]","bv55c11",0,700,800,750,"st3"
"(80,120]","bv55c11",0.543389664728577,80,120,100,"st3"
"(80,120]","bv55c11",0,80,120,100,"st3"
"(80,120]","bv55c11",0,80,120,100,"st3"
"(80,120]","bv55c11",0,80,120,100,"st3"
"(80,120]","bv55c11",0,80,120,100,"st3"
"(800,900]","bv55c11",0.905920188431399,800,900,850,"st3"
"(800,900]","bv55c11",0,800,900,850,"st3"
"(800,900]","bv55c11",0,800,900,850,"st3"
"(800,900]","bv55c11",0,800,900,850,"st3"
"(800,900]","bv55c11",0,800,900,850,"st3"
"(900,1e+03]","bv55c11",0.900535818812193,900,1000,950,"st3"
"(900,1e+03]","bv55c11",0,900,1000,950,"st3"
"(900,1e+03]","bv55c11",0,900,1000,950,"st3"
"(900,1e+03]","bv55c11",0,900,1000,950,"st3"
"(900,1e+03]","bv55c11",0,900,1000,950,"st3"
"(0,40]","bv55c12",1.83654729109275,0,40,20,"st6"
"(0,40]","bv55c12",2.20385674931129,0,40,20,"st6"
"(0,40]","bv55c12",0.367309458218549,0,40,20,"st6"
"(0,40]","bv55c12",2.20385674931129,0,40,20,"st6"
"(0,40]","bv55c12",0,0,40,20,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(120,160]","bv55c12",0,120,160,140,"st6"
"(40,80]","bv55c12",1.6656117792065,40,80,60,"st6"
"(40,80]","bv55c12",0.999367067523902,40,80,60,"st6"
"(40,80]","bv55c12",0.666244711682601,40,80,60,"st6"
"(40,80]","bv55c12",0,40,80,60,"st6"
"(40,80]","bv55c12",1.3324894233652,40,80,60,"st6"
"(80,120]","bv55c12",0.608223177357878,80,120,100,"st6"
"(80,120]","bv55c12",0.405482118238586,80,120,100,"st6"
"(80,120]","bv55c12",0.810964236477171,80,120,100,"st6"
"(80,120]","bv55c12",0.202741059119293,80,120,100,"st6"
"(80,120]","bv55c12",4.25756224150515,80,120,100,"st6"
"(0,40]","bv55c13",3.45006037605658,0,40,20,"st6"
"(0,40]","bv55c13",0.431257547007073,0,40,20,"st6"
"(0,40]","bv55c13",0.431257547007073,0,40,20,"st6"
"(0,40]","bv55c13",0,0,40,20,"st6"
"(0,40]","bv55c13",0,0,40,20,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0.902323482968644,1100,1200,1150,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0,1100,1200,1150,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0,1100,1200,1150,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0,1100,1200,1150,"st6"
"(1.1e+03,1.2e+03]","bv55c13",0,1100,1200,1150,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(1.2e+03,1.3e+03]","bv55c13",0,1200,1300,1250,"st6"
"(120,160]","bv55c13",1.10326566637246,120,160,140,"st6"
"(120,160]","bv55c13",0,120,160,140,"st6"
"(120,160]","bv55c13",0,120,160,140,"st6"
"(120,160]","bv55c13",0,120,160,140,"st6"
"(120,160]","bv55c13",0,120,160,140,"st6"
"(160,200]","bv55c13",3.706252978239,160,200,180,"st6"
"(160,200]","bv55c13",0,160,200,180,"st6"
"(160,200]","bv55c13",0,160,200,180,"st6"
"(160,200]","bv55c13",0,160,200,180,"st6"
"(160,200]","bv55c13",0,160,200,180,"st6"
"(1e+03,1.1e+03]","bv55c13",0.440451021846371,1000,1100,1050,"st6"
"(1e+03,1.1e+03]","bv55c13",0,1000,1100,1050,"st6"
"(1e+03,1.1e+03]","bv55c13",0,1000,1100,1050,"st6"
"(1e+03,1.1e+03]","bv55c13",0,1000,1100,1050,"st6"
"(1e+03,1.1e+03]","bv55c13",0,1000,1100,1050,"st6"
"(200,300]","bv55c13",0.372425607984805,200,300,250,"st6"
"(200,300]","bv55c13",0.372425607984805,200,300,250,"st6"
"(200,300]","bv55c13",0,200,300,250,"st6"
"(200,300]","bv55c13",0,200,300,250,"st6"
"(200,300]","bv55c13",0,200,300,250,"st6"
"(300,400]","bv55c13",0.849220839879411,300,400,350,"st6"
